year,month,variable,value
2013,6,year,2013
2013,7,year,2013
2013,8,year,2013
2013,9,year,2013
2013,10,year,2013
2013,11,year,2013
2013,12,year,2013
1960,1,month,1
1960,2,month,2
1960,3,month,3
1960,4,month,4
1960,5,month,5
1960,6,month,6
1960,7,month,7
1960,8,month,8
1960,9,month,9
1960,10,month,10
1960,11,month,11
1960,12,month,12
1961,1,month,1
1961,2,month,2
1961,3,month,3
1961,4,month,4
1961,5,month,5
1961,6,month,6
1961,7,month,7
1961,8,month,8
1961,9,month,9
1961,10,month,10
1961,11,month,11
1961,12,month,12
1962,1,month,1
1962,2,month,2
1962,3,month,3
1962,4,month,4
1962,5,month,5
1962,6,month,6
1962,7,month,7
1962,8,month,8
1962,9,month,9
1962,10,month,10
1962,11,month,11
1962,12,month,12
1963,1,month,1
1963,2,month,2
1963,3,month,3
1963,4,month,4
1963,5,month,5
1963,6,month,6
1963,7,month,7
1963,8,month,8
1963,9,month,9
1963,10,month,10
1963,11,month,11
1963,12,month,12
1964,1,month,1
1964,2,month,2
1964,3,month,3
1964,4,month,4
1964,5,month,5
1964,6,month,6
1964,7,month,7
1964,8,month,8
1964,9,month,9
1964,10,month,10
1964,11,month,11
1964,12,month,12
1965,1,month,1
1965,2,month,2
1965,3,month,3
1965,4,month,4
1965,5,month,5
1965,6,month,6
1965,7,month,7
1965,8,month,8
1965,9,month,9
1965,10,month,10
1965,11,month,11
1965,12,month,12
1966,1,month,1
1966,2,month,2
1966,3,month,3
1966,4,month,4
1966,5,month,5
1966,6,month,6
1966,7,month,7
1966,8,month,8
1966,9,month,9
1966,10,month,10
1966,11,month,11
1966,12,month,12
1967,1,month,1
1967,2,month,2
1967,3,month,3
1967,4,month,4
1967,5,month,5
1967,6,month,6
1967,7,month,7
1967,8,month,8
1967,9,month,9
1967,10,month,10
1967,11,month,11
1967,12,month,12
1968,1,month,1
1968,2,month,2
1968,3,month,3
1968,4,month,4
1968,5,month,5
1968,6,month,6
1968,7,month,7
1968,8,month,8
1968,9,month,9
1968,10,month,10
1968,11,month,11
1968,12,month,12
1969,1,month,1
1969,2,month,2
1969,3,month,3
1969,4,month,4
1969,5,month,5
1969,6,month,6
1969,7,month,7
1969,8,month,8
1969,9,month,9
1969,10,month,10
1969,11,month,11
1969,12,month,12
1970,1,month,1
1970,2,month,2
1970,3,month,3
1970,4,month,4
1970,5,month,5
1970,6,month,6
1970,7,month,7
1970,8,month,8
1970,9,month,9
1970,10,month,10
1970,11,month,11
1970,12,month,12
1971,1,month,1
1971,2,month,2
1971,3,month,3
1971,4,month,4
1971,5,month,5
1971,6,month,6
1971,7,month,7
1971,8,month,8
1971,9,month,9
1971,10,month,10
1971,11,month,11
1971,12,month,12
1972,1,month,1
1972,2,month,2
1972,3,month,3
1972,4,month,4
1972,5,month,5
1972,6,month,6
1972,7,month,7
1972,8,month,8
1972,9,month,9
1972,10,month,10
1972,11,month,11
1972,12,month,12
1973,1,month,1
1973,2,month,2
1973,3,month,3
1973,4,month,4
1973,5,month,5
1973,6,month,6
1973,7,month,7
1973,8,month,8
1973,9,month,9
1973,10,month,10
1973,11,month,11
1973,12,month,12
1974,1,month,1
1974,2,month,2
1974,3,month,3
1974,4,month,4
1974,5,month,5
1974,6,month,6
1974,7,month,7
1974,8,month,8
1974,9,month,9
1974,10,month,10
1974,11,month,11
1974,12,month,12
1975,1,month,1
1975,2,month,2
1975,3,month,3
1975,4,month,4
1975,5,month,5
1975,6,month,6
1975,7,month,7
1975,8,month,8
1975,9,month,9
1975,10,month,10
1975,11,month,11
1975,12,month,12
1976,1,month,1
1976,2,month,2
1976,3,month,3
1976,4,month,4
1976,5,month,5
1976,6,month,6
1976,7,month,7
1976,8,month,8
1976,9,month,9
1976,10,month,10
1976,11,month,11
1976,12,month,12
1977,1,month,1
1977,2,month,2
1977,3,month,3
1977,4,month,4
1977,5,month,5
1977,6,month,6
1977,7,month,7
1977,8,month,8
1977,9,month,9
1977,10,month,10
1977,11,month,11
1977,12,month,12
1978,1,month,1
1978,2,month,2
1978,3,month,3
1978,4,month,4
1978,5,month,5
1978,6,month,6
1978,7,month,7
1978,8,month,8
1978,9,month,9
1978,10,month,10
1978,11,month,11
1978,12,month,12
1979,1,month,1
1979,2,month,2
1979,3,month,3
1979,4,month,4
1979,5,month,5
1979,6,month,6
1979,7,month,7
1979,8,month,8
1979,9,month,9
1979,10,month,10
1979,11,month,11
1979,12,month,12
1980,1,month,1
1980,2,month,2
1980,3,month,3
1980,4,month,4
1980,5,month,5
1980,6,month,6
1980,7,month,7
1980,8,month,8
1980,9,month,9
1980,10,month,10
1980,11,month,11
1980,12,month,12
1981,1,month,1
1981,2,month,2
1981,3,month,3
1981,4,month,4
1981,5,month,5
1981,6,month,6
1981,7,month,7
1981,8,month,8
1981,9,month,9
1981,10,month,10
1981,11,month,11
1981,12,month,12
1982,1,month,1
1982,2,month,2
1982,3,month,3
1982,4,month,4
1982,5,month,5
1982,6,month,6
1982,7,month,7
1982,8,month,8
1982,9,month,9
1982,10,month,10
1982,11,month,11
1982,12,month,12
1983,1,month,1
1983,2,month,2
1983,3,month,3
1983,4,month,4
1983,5,month,5
1983,6,month,6
1983,7,month,7
1983,8,month,8
1983,9,month,9
1983,10,month,10
1983,11,month,11
1983,12,month,12
1984,1,month,1
1984,2,month,2
1984,3,month,3
1984,4,month,4
1984,5,month,5
1984,6,month,6
1984,7,month,7
1984,8,month,8
1984,9,month,9
1984,10,month,10
1984,11,month,11
1984,12,month,12
1985,1,month,1
1985,2,month,2
1985,3,month,3
1985,4,month,4
1985,5,month,5
1985,6,month,6
1985,7,month,7
1985,8,month,8
1985,9,month,9
1985,10,month,10
1985,11,month,11
1985,12,month,12
1986,1,month,1
1986,2,month,2
1986,3,month,3
1986,4,month,4
1986,5,month,5
1986,6,month,6
1986,7,month,7
1986,8,month,8
1986,9,month,9
1986,10,month,10
1986,11,month,11
1986,12,month,12
1987,1,month,1
1987,2,month,2
1987,3,month,3
1987,4,month,4
1987,5,month,5
1987,6,month,6
1987,7,month,7
1987,8,month,8
1987,9,month,9
1987,10,month,10
1987,11,month,11
1987,12,month,12
1988,1,month,1
1988,2,month,2
1988,3,month,3
1988,4,month,4
1988,5,month,5
1988,6,month,6
1988,7,month,7
1988,8,month,8
1988,9,month,9
1988,10,month,10
1988,11,month,11
1988,12,month,12
1989,1,month,1
1989,2,month,2
1989,3,month,3
1989,4,month,4
1989,5,month,5
1989,6,month,6
1989,7,month,7
1989,8,month,8
1989,9,month,9
1989,10,month,10
1989,11,month,11
1989,12,month,12
1990,1,month,1
1990,2,month,2
1990,3,month,3
1990,4,month,4
1990,5,month,5
1990,6,month,6
1990,7,month,7
1990,8,month,8
1990,9,month,9
1990,10,month,10
1990,11,month,11
1990,12,month,12
1991,1,month,1
1991,2,month,2
1991,3,month,3
1991,4,month,4
1991,5,month,5
1991,6,month,6
1991,7,month,7
1991,8,month,8
1991,9,month,9
1991,10,month,10
1991,11,month,11
1991,12,month,12
1992,1,month,1
1992,2,month,2
1992,3,month,3
1992,4,month,4
1992,5,month,5
1992,6,month,6
1992,7,month,7
1992,8,month,8
1992,9,month,9
1992,10,month,10
1992,11,month,11
1992,12,month,12
1993,1,month,1
1993,2,month,2
1993,3,month,3
1993,4,month,4
1993,5,month,5
1993,6,month,6
1993,7,month,7
1993,8,month,8
1993,9,month,9
1993,10,month,10
1993,11,month,11
1993,12,month,12
1994,1,month,1
1994,2,month,2
1994,3,month,3
1994,4,month,4
1994,5,month,5
1994,6,month,6
1994,7,month,7
1994,8,month,8
1994,9,month,9
1994,10,month,10
1994,11,month,11
1994,12,month,12
1995,1,month,1
1995,2,month,2
1995,3,month,3
1995,4,month,4
1995,5,month,5
1995,6,month,6
1995,7,month,7
1995,8,month,8
1995,9,month,9
1995,10,month,10
1995,11,month,11
1995,12,month,12
1996,1,month,1
1996,2,month,2
1996,3,month,3
1996,4,month,4
1996,5,month,5
1996,6,month,6
1996,7,month,7
1996,8,month,8
1996,9,month,9
1996,10,month,10
1996,11,month,11
1996,12,month,12
1997,1,month,1
1997,2,month,2
1997,3,month,3
1997,4,month,4
1997,5,month,5
1997,6,month,6
1997,7,month,7
1997,8,month,8
1997,9,month,9
1997,10,month,10
1997,11,month,11
1997,12,month,12
1998,1,month,1
1998,2,month,2
1998,3,month,3
1998,4,month,4
1998,5,month,5
1998,6,month,6
1998,7,month,7
1998,8,month,8
1998,9,month,9
1998,10,month,10
1998,11,month,11
1998,12,month,12
1999,1,month,1
1999,2,month,2
1999,3,month,3
1999,4,month,4
1999,5,month,5
1999,6,month,6
1999,7,month,7
1999,8,month,8
1999,9,month,9
1999,10,month,10
1999,11,month,11
1999,12,month,12
2000,1,month,1
2000,2,month,2
2000,3,month,3
2000,4,month,4
2000,5,month,5
2000,6,month,6
2000,7,month,7
2000,8,month,8
2000,9,month,9
2000,10,month,10
2000,11,month,11
2000,12,month,12
2001,1,month,1
2001,2,month,2
2001,3,month,3
2001,4,month,4
2001,5,month,5
2001,6,month,6
2001,7,month,7
2001,8,month,8
2001,9,month,9
2001,10,month,10
2001,11,month,11
2001,12,month,12
2002,1,month,1
2002,2,month,2
2002,3,month,3
2002,4,month,4
2002,5,month,5
2002,6,month,6
2002,7,month,7
2002,8,month,8
2002,9,month,9
2002,10,month,10
2002,11,month,11
2002,12,month,12
2003,1,month,1
2003,2,month,2
2003,3,month,3
2003,4,month,4
2003,5,month,5
2003,6,month,6
2003,7,month,7
2003,8,month,8
2003,9,month,9
2003,10,month,10
2003,11,month,11
2003,12,month,12
2004,1,month,1
2004,2,month,2
2004,3,month,3
2004,4,month,4
2004,5,month,5
2004,6,month,6
2004,7,month,7
2004,8,month,8
2004,9,month,9
2004,10,month,10
2004,11,month,11
2004,12,month,12
2005,1,month,1
2005,2,month,2
2005,3,month,3
2005,4,month,4
2005,5,month,5
2005,6,month,6
2005,7,month,7
2005,8,month,8
2005,9,month,9
2005,10,month,10
2005,11,month,11
2005,12,month,12
2006,1,month,1
2006,2,month,2
2006,3,month,3
2006,4,month,4
2006,5,month,5
2006,6,month,6
2006,7,month,7
2006,8,month,8
2006,9,month,9
2006,10,month,10
2006,11,month,11
2006,12,month,12
2007,1,month,1
2007,2,month,2
2007,3,month,3
2007,4,month,4
2007,5,month,5
2007,6,month,6
2007,7,month,7
2007,8,month,8
2007,9,month,9
2007,10,month,10
2007,11,month,11
2007,12,month,12
2008,1,month,1
2008,2,month,2
2008,3,month,3
2008,4,month,4
2008,5,month,5
2008,6,month,6
2008,7,month,7
2008,8,month,8
2008,9,month,9
2008,10,month,10
2008,11,month,11
2008,12,month,12
2009,1,month,1
2009,2,month,2
2009,3,month,3
2009,4,month,4
2009,5,month,5
2009,6,month,6
2009,7,month,7
2009,8,month,8
2009,9,month,9
2009,10,month,10
2009,11,month,11
2009,12,month,12
2010,1,month,1
2010,2,month,2
2010,3,month,3
2010,4,month,4
2010,5,month,5
2010,6,month,6
2010,7,month,7
2010,8,month,8
2010,9,month,9
2010,10,month,10
2010,11,month,11
2010,12,month,12
2011,1,month,1
2011,2,month,2
2011,3,month,3
2011,4,month,4
2011,5,month,5
2011,6,month,6
2011,7,month,7
2011,8,month,8
2011,9,month,9
2011,10,month,10
2011,11,month,11
2011,12,month,12
2012,1,month,1
2012,2,month,2
2012,3,month,3
2012,4,month,4
2012,5,month,5
2012,6,month,6
2012,7,month,7
2012,8,month,8
2012,9,month,9
2012,10,month,10
2012,11,month,11
2012,12,month,12
2013,1,month,1
2013,2,month,2
2013,3,month,3
2013,4,month,4
2013,5,month,5
2013,6,month,6
2013,7,month,7
2013,8,month,8
2013,9,month,9
2013,10,month,10
2013,11,month,11
2013,12,month,12
1960,1,AFG,-2.6856
1960,2,AFG,2.3792
1960,3,AFG,1.124
1960,4,AFG,8.1632
1960,5,AFG,13.9896
1960,6,AFG,21.1288
1960,7,AFG,22.3712
1960,8,AFG,21.4456
1960,9,AFG,16.2824
1960,10,AFG,10.2976
1960,11,AFG,2.9696
1960,12,AFG,-2.2144
1961,1,AFG,-3.0176
1961,2,AFG,-2.9976
1961,3,AFG,4.4336
1961,4,AFG,9.4512
1961,5,AFG,16.4624
1961,6,AFG,20.2144
1961,7,AFG,22.944
1961,8,AFG,20.732
1961,9,AFG,17.1664
1961,10,AFG,8.7632
1961,11,AFG,2.6104
1961,12,AFG,-0.5592
1962,1,AFG,-4.1008
1962,2,AFG,0.8848
1962,3,AFG,5.6472
1962,4,AFG,10.048
1962,5,AFG,15.0864
1962,6,AFG,19.5696
1962,7,AFG,23.056
1962,8,AFG,20.6616
1962,9,AFG,14.4744
1962,10,AFG,9.1416
1962,11,AFG,1.4
1962,12,AFG,-2.0936
1963,1,AFG,-1.564
1963,2,AFG,2.5952
1963,3,AFG,4.4984
1963,4,AFG,11.4888
1963,5,AFG,14.7536
1963,6,AFG,21.7648
1963,7,AFG,22.8568
1963,8,AFG,20.7528
1963,9,AFG,16.476
1963,10,AFG,11.968
1963,11,AFG,4.1168
1963,12,AFG,-1.676
1964,1,AFG,-10.3016
1964,2,AFG,-1.9352
1964,3,AFG,5.5664
1964,4,AFG,9.4944
1964,5,AFG,14.7552
1964,6,AFG,20.036
1964,7,AFG,22.2464
1964,8,AFG,21.2832
1964,9,AFG,16.0192
1964,10,AFG,7.2976
1964,11,AFG,2.6184
1964,12,AFG,-4.744
1965,1,AFG,-2.5104
1965,2,AFG,-1.416
1965,3,AFG,3.392
1965,4,AFG,8.82
1965,5,AFG,14.836
1965,6,AFG,19.8968
1965,7,AFG,22.612
1965,8,AFG,20.116
1965,9,AFG,15.5376
1965,10,AFG,12.404
1965,11,AFG,5.74
1965,12,AFG,-2.2104
1966,1,AFG,-0.2496
1966,2,AFG,2.5256
1966,3,AFG,4.1592
1966,4,AFG,9.2976
1966,5,AFG,14.9552
1966,6,AFG,22.0432
1966,7,AFG,22.2184
1966,8,AFG,21.2568
1966,9,AFG,15.8784
1966,10,AFG,9.62
1966,11,AFG,1.236
1966,12,AFG,-1.4088
1967,1,AFG,-5.5368
1967,2,AFG,-1.2152
1967,3,AFG,3.4024
1967,4,AFG,8.8032
1967,5,AFG,13.5744
1967,6,AFG,19.6368
1967,7,AFG,22.8552
1967,8,AFG,20.8824
1967,9,AFG,16.5736
1967,10,AFG,9.2832
1967,11,AFG,4.4752
1967,12,AFG,-1.3032
1968,1,AFG,-3.728
1968,2,AFG,-2.968
1968,3,AFG,4.3168
1968,4,AFG,9.5216
1968,5,AFG,13.2856
1968,6,AFG,20.5104
1968,7,AFG,22.1744
1968,8,AFG,20.7592
1968,9,AFG,16.064
1968,10,AFG,9.6592
1968,11,AFG,4.18
1968,12,AFG,-1.14
1969,1,AFG,-6.7608
1969,2,AFG,-4.8392
1969,3,AFG,6.0656
1969,4,AFG,9.308
1969,5,AFG,13.7912
1969,6,AFG,19.84
1969,7,AFG,22.3032
1969,8,AFG,20.4264
1969,9,AFG,15.452
1969,10,AFG,11.3296
1969,11,AFG,2.736
