year,month,variable,value
1960,1,year,1960
1960,2,year,1960
1960,3,year,1960
1960,4,year,1960
1960,5,year,1960
1960,6,year,1960
1960,7,year,1960
1960,8,year,1960
1960,9,year,1960
1960,10,year,1960
1960,11,year,1960
1960,12,year,1960
1961,1,year,1961
1961,2,year,1961
1961,3,year,1961
1961,4,year,1961
1961,5,year,1961
1961,6,year,1961
1961,7,year,1961
1961,8,year,1961
1961,9,year,1961
1961,10,year,1961
1961,11,year,1961
1961,12,year,1961
1962,1,year,1962
1962,2,year,1962
1962,3,year,1962
1962,4,year,1962
1962,5,year,1962
1962,6,year,1962
1962,7,year,1962
1962,8,year,1962
1962,9,year,1962
1962,10,year,1962
1962,11,year,1962
1962,12,year,1962
1963,1,year,1963
1963,2,year,1963
1963,3,year,1963
1963,4,year,1963
1963,5,year,1963
1963,6,year,1963
1963,7,year,1963
1963,8,year,1963
1963,9,year,1963
1963,10,year,1963
1963,11,year,1963
1963,12,year,1963
1964,1,year,1964
1964,2,year,1964
1964,3,year,1964
1964,4,year,1964
1964,5,year,1964
1964,6,year,1964
1964,7,year,1964
1964,8,year,1964
1964,9,year,1964
1964,10,year,1964
1964,11,year,1964
1964,12,year,1964
1965,1,year,1965
1965,2,year,1965
1965,3,year,1965
1965,4,year,1965
1965,5,year,1965
1965,6,year,1965
1965,7,year,1965
1965,8,year,1965
1965,9,year,1965
1965,10,year,1965
1965,11,year,1965
1965,12,year,1965
1966,1,year,1966
1966,2,year,1966
1966,3,year,1966
1966,4,year,1966
1966,5,year,1966
1966,6,year,1966
1966,7,year,1966
1966,8,year,1966
1966,9,year,1966
1966,10,year,1966
1966,11,year,1966
1966,12,year,1966
1967,1,year,1967
1967,2,year,1967
1967,3,year,1967
1967,4,year,1967
1967,5,year,1967
1967,6,year,1967
1967,7,year,1967
1967,8,year,1967
1967,9,year,1967
1967,10,year,1967
1967,11,year,1967
1967,12,year,1967
1968,1,year,1968
1968,2,year,1968
1968,3,year,1968
1968,4,year,1968
1968,5,year,1968
1968,6,year,1968
1968,7,year,1968
1968,8,year,1968
1968,9,year,1968
1968,10,year,1968
1968,11,year,1968
1968,12,year,1968
1969,1,year,1969
1969,2,year,1969
1969,3,year,1969
1969,4,year,1969
1969,5,year,1969
1969,6,year,1969
1969,7,year,1969
1969,8,year,1969
1969,9,year,1969
1969,10,year,1969
1969,11,year,1969
1969,12,year,1969
1970,1,year,1970
1970,2,year,1970
1970,3,year,1970
1970,4,year,1970
1970,5,year,1970
1970,6,year,1970
1970,7,year,1970
1970,8,year,1970
1970,9,year,1970
1970,10,year,1970
1970,11,year,1970
1970,12,year,1970
1971,1,year,1971
1971,2,year,1971
1971,3,year,1971
1971,4,year,1971
1971,5,year,1971
1971,6,year,1971
1971,7,year,1971
1971,8,year,1971
1971,9,year,1971
1971,10,year,1971
1971,11,year,1971
1971,12,year,1971
1972,1,year,1972
1972,2,year,1972
1972,3,year,1972
1972,4,year,1972
1972,5,year,1972
1972,6,year,1972
1972,7,year,1972
1972,8,year,1972
1972,9,year,1972
1972,10,year,1972
1972,11,year,1972
1972,12,year,1972
1973,1,year,1973
1973,2,year,1973
1973,3,year,1973
1973,4,year,1973
1973,5,year,1973
1973,6,year,1973
1973,7,year,1973
1973,8,year,1973
1973,9,year,1973
1973,10,year,1973
1973,11,year,1973
1973,12,year,1973
1974,1,year,1974
1974,2,year,1974
1974,3,year,1974
1974,4,year,1974
1974,5,year,1974
1974,6,year,1974
1974,7,year,1974
1974,8,year,1974
1974,9,year,1974
1974,10,year,1974
1974,11,year,1974
1974,12,year,1974
1975,1,year,1975
1975,2,year,1975
1975,3,year,1975
1975,4,year,1975
1975,5,year,1975
1975,6,year,1975
1975,7,year,1975
1975,8,year,1975
1975,9,year,1975
1975,10,year,1975
1975,11,year,1975
1975,12,year,1975
1976,1,year,1976
1976,2,year,1976
1976,3,year,1976
1976,4,year,1976
1976,5,year,1976
1976,6,year,1976
1976,7,year,1976
1976,8,year,1976
1976,9,year,1976
1976,10,year,1976
1976,11,year,1976
1976,12,year,1976
1977,1,year,1977
1977,2,year,1977
1977,3,year,1977
1977,4,year,1977
1977,5,year,1977
1977,6,year,1977
1977,7,year,1977
1977,8,year,1977
1977,9,year,1977
1977,10,year,1977
1977,11,year,1977
1977,12,year,1977
1978,1,year,1978
1978,2,year,1978
1978,3,year,1978
1978,4,year,1978
1978,5,year,1978
1978,6,year,1978
1978,7,year,1978
1978,8,year,1978
1978,9,year,1978
1978,10,year,1978
1978,11,year,1978
1978,12,year,1978
1979,1,year,1979
1979,2,year,1979
1979,3,year,1979
1979,4,year,1979
1979,5,year,1979
1979,6,year,1979
1979,7,year,1979
1979,8,year,1979
1979,9,year,1979
1979,10,year,1979
1979,11,year,1979
1979,12,year,1979
1980,1,year,1980
1980,2,year,1980
1980,3,year,1980
1980,4,year,1980
1980,5,year,1980
1980,6,year,1980
1980,7,year,1980
1980,8,year,1980
1980,9,year,1980
1980,10,year,1980
1980,11,year,1980
1980,12,year,1980
1981,1,year,1981
1981,2,year,1981
1981,3,year,1981
1981,4,year,1981
1981,5,year,1981
1981,6,year,1981
1981,7,year,1981
1981,8,year,1981
1981,9,year,1981
1981,10,year,1981
1981,11,year,1981
1981,12,year,1981
1982,1,year,1982
1982,2,year,1982
1982,3,year,1982
1982,4,year,1982
1982,5,year,1982
1982,6,year,1982
1982,7,year,1982
1982,8,year,1982
1982,9,year,1982
1982,10,year,1982
1982,11,year,1982
1982,12,year,1982
1983,1,year,1983
1983,2,year,1983
1983,3,year,1983
1983,4,year,1983
1983,5,year,1983
1983,6,year,1983
1983,7,year,1983
1983,8,year,1983
1983,9,year,1983
1983,10,year,1983
1983,11,year,1983
1983,12,year,1983
1984,1,year,1984
1984,2,year,1984
1984,3,year,1984
1984,4,year,1984
1984,5,year,1984
1984,6,year,1984
1984,7,year,1984
1984,8,year,1984
1984,9,year,1984
1984,10,year,1984
1984,11,year,1984
1984,12,year,1984
1985,1,year,1985
1985,2,year,1985
1985,3,year,1985
1985,4,year,1985
1985,5,year,1985
1985,6,year,1985
1985,7,year,1985
1985,8,year,1985
1985,9,year,1985
1985,10,year,1985
1985,11,year,1985
1985,12,year,1985
1986,1,year,1986
1986,2,year,1986
1986,3,year,1986
1986,4,year,1986
1986,5,year,1986
1986,6,year,1986
1986,7,year,1986
1986,8,year,1986
1986,9,year,1986
1986,10,year,1986
1986,11,year,1986
1986,12,year,1986
1987,1,year,1987
1987,2,year,1987
1987,3,year,1987
1987,4,year,1987
1987,5,year,1987
1987,6,year,1987
1987,7,year,1987
1987,8,year,1987
1987,9,year,1987
1987,10,year,1987
1987,11,year,1987
1987,12,year,1987
1988,1,year,1988
1988,2,year,1988
1988,3,year,1988
1988,4,year,1988
1988,5,year,1988
1988,6,year,1988
1988,7,year,1988
1988,8,year,1988
1988,9,year,1988
1988,10,year,1988
1988,11,year,1988
1988,12,year,1988
1989,1,year,1989
1989,2,year,1989
1989,3,year,1989
1989,4,year,1989
1989,5,year,1989
1989,6,year,1989
1989,7,year,1989
1989,8,year,1989
1989,9,year,1989
1989,10,year,1989
1989,11,year,1989
1989,12,year,1989
1990,1,year,1990
1990,2,year,1990
1990,3,year,1990
1990,4,year,1990
1990,5,year,1990
1990,6,year,1990
1990,7,year,1990
1990,8,year,1990
1990,9,year,1990
1990,10,year,1990
1990,11,year,1990
1990,12,year,1990
1991,1,year,1991
1991,2,year,1991
1991,3,year,1991
1991,4,year,1991
1991,5,year,1991
1991,6,year,1991
1991,7,year,1991
1991,8,year,1991
1991,9,year,1991
1991,10,year,1991
1991,11,year,1991
1991,12,year,1991
1992,1,year,1992
1992,2,year,1992
1992,3,year,1992
1992,4,year,1992
1992,5,year,1992
1992,6,year,1992
1992,7,year,1992
1992,8,year,1992
1992,9,year,1992
1992,10,year,1992
1992,11,year,1992
1992,12,year,1992
1993,1,year,1993
1993,2,year,1993
1993,3,year,1993
1993,4,year,1993
1993,5,year,1993
1993,6,year,1993
1993,7,year,1993
1993,8,year,1993
1993,9,year,1993
1993,10,year,1993
1993,11,year,1993
1993,12,year,1993
1994,1,year,1994
1994,2,year,1994
1994,3,year,1994
1994,4,year,1994
1994,5,year,1994
1994,6,year,1994
1994,7,year,1994
1994,8,year,1994
1994,9,year,1994
1994,10,year,1994
1994,11,year,1994
1994,12,year,1994
1995,1,year,1995
1995,2,year,1995
1995,3,year,1995
1995,4,year,1995
1995,5,year,1995
1995,6,year,1995
1995,7,year,1995
1995,8,year,1995
1995,9,year,1995
1995,10,year,1995
1995,11,year,1995
1995,12,year,1995
1996,1,year,1996
1996,2,year,1996
1996,3,year,1996
1996,4,year,1996
1996,5,year,1996
1996,6,year,1996
1996,7,year,1996
1996,8,year,1996
1996,9,year,1996
1996,10,year,1996
1996,11,year,1996
1996,12,year,1996
1997,1,year,1997
1997,2,year,1997
1997,3,year,1997
1997,4,year,1997
1997,5,year,1997
1997,6,year,1997
1997,7,year,1997
1997,8,year,1997
1997,9,year,1997
1997,10,year,1997
1997,11,year,1997
1997,12,year,1997
1998,1,year,1998
1998,2,year,1998
1998,3,year,1998
1998,4,year,1998
1998,5,year,1998
1998,6,year,1998
1998,7,year,1998
1998,8,year,1998
1998,9,year,1998
1998,10,year,1998
1998,11,year,1998
1998,12,year,1998
1999,1,year,1999
1999,2,year,1999
1999,3,year,1999
1999,4,year,1999
1999,5,year,1999
1999,6,year,1999
1999,7,year,1999
1999,8,year,1999
1999,9,year,1999
1999,10,year,1999
1999,11,year,1999
1999,12,year,1999
2000,1,year,2000
2000,2,year,2000
2000,3,year,2000
2000,4,year,2000
2000,5,year,2000
2000,6,year,2000
2000,7,year,2000
2000,8,year,2000
2000,9,year,2000
2000,10,year,2000
2000,11,year,2000
2000,12,year,2000
2001,1,year,2001
2001,2,year,2001
2001,3,year,2001
2001,4,year,2001
2001,5,year,2001
2001,6,year,2001
2001,7,year,2001
2001,8,year,2001
2001,9,year,2001
2001,10,year,2001
2001,11,year,2001
2001,12,year,2001
2002,1,year,2002
2002,2,year,2002
2002,3,year,2002
2002,4,year,2002
2002,5,year,2002
2002,6,year,2002
2002,7,year,2002
2002,8,year,2002
2002,9,year,2002
2002,10,year,2002
2002,11,year,2002
2002,12,year,2002
2003,1,year,2003
2003,2,year,2003
2003,3,year,2003
2003,4,year,2003
2003,5,year,2003
2003,6,year,2003
2003,7,year,2003
2003,8,year,2003
2003,9,year,2003
2003,10,year,2003
2003,11,year,2003
2003,12,year,2003
2004,1,year,2004
2004,2,year,2004
2004,3,year,2004
2004,4,year,2004
2004,5,year,2004
2004,6,year,2004
2004,7,year,2004
2004,8,year,2004
2004,9,year,2004
2004,10,year,2004
2004,11,year,2004
2004,12,year,2004
2005,1,year,2005
2005,2,year,2005
2005,3,year,2005
2005,4,year,2005
2005,5,year,2005
2005,6,year,2005
2005,7,year,2005
2005,8,year,2005
2005,9,year,2005
2005,10,year,2005
2005,11,year,2005
2005,12,year,2005
2006,1,year,2006
2006,2,year,2006
2006,3,year,2006
2006,4,year,2006
2006,5,year,2006
2006,6,year,2006
2006,7,year,2006
2006,8,year,2006
2006,9,year,2006
2006,10,year,2006
2006,11,year,2006
2006,12,year,2006
2007,1,year,2007
2007,2,year,2007
2007,3,year,2007
2007,4,year,2007
2007,5,year,2007
2007,6,year,2007
2007,7,year,2007
2007,8,year,2007
2007,9,year,2007
2007,10,year,2007
2007,11,year,2007
2007,12,year,2007
2008,1,year,2008
2008,2,year,2008
2008,3,year,2008
2008,4,year,2008
2008,5,year,2008
2008,6,year,2008
2008,7,year,2008
2008,8,year,2008
2008,9,year,2008
2008,10,year,2008
2008,11,year,2008
2008,12,year,2008
2009,1,year,2009
2009,2,year,2009
2009,3,year,2009
2009,4,year,2009
2009,5,year,2009
2009,6,year,2009
2009,7,year,2009
2009,8,year,2009
2009,9,year,2009
2009,10,year,2009
2009,11,year,2009
2009,12,year,2009
2010,1,year,2010
2010,2,year,2010
2010,3,year,2010
2010,4,year,2010
2010,5,year,2010
2010,6,year,2010
2010,7,year,2010
2010,8,year,2010
2010,9,year,2010
2010,10,year,2010
2010,11,year,2010
2010,12,year,2010
2011,1,year,2011
2011,2,year,2011
2011,3,year,2011
2011,4,year,2011
2011,5,year,2011
2011,6,year,2011
2011,7,year,2011
2011,8,year,2011
2011,9,year,2011
2011,10,year,2011
2011,11,year,2011
2011,12,year,2011
2012,1,year,2012
2012,2,year,2012
2012,3,year,2012
2012,4,year,2012
2012,5,year,2012
2012,6,year,2012
2012,7,year,2012
2012,8,year,2012
2012,9,year,2012
2012,10,year,2012
2012,11,year,2012
2012,12,year,2012
2013,1,year,2013
2013,2,year,2013
2013,3,year,2013
2013,4,year,2013
2013,5,year,2013
